Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
22	Runaway Bride	1999-07-30	Paramount Pictures	PG	$95,162	17,655	Romantic-Comedy
23	Mad About Mambo	2000-08-04		PG-13	$61,663	11,440	Romantic-Comedy
24	Drive Me Crazy	1999-10-01	20th Century Fox	PG-13	$29,895	5,546	Romantic-Comedy
1	America's Sweethearts	2001-07-20	Sony Pictures	PG-13	$93,607,673	16,538,458	Romantic-Comedy
2	Bridget Jones's Diary	2001-04-13	Miramax	R	$71,500,556	12,632,607	Romantic-Comedy
3	Shallow Hal	2001-11-09	20th Century Fox	PG-13	$68,817,987	12,158,654	Romantic-Comedy
4	What Women Want	2000-12-15	Paramount Pictures	PG-13	$67,043,240	11,845,095	Romantic-Comedy
5	The Wedding Planner	2001-01-26	Sony Pictures	PG-13	$60,400,856	10,671,529	Romantic-Comedy
6	Serendipity	2001-10-05	Miramax	PG-13	$50,255,310	8,879,030	Romantic-Comedy
7	Kate and Leopold	2001-12-25	Miramax	PG-13	$30,588,006	5,404,241	Romantic-Comedy
8	Someone Like You	2001-03-30	20th Century Fox	PG-13	$27,338,033	4,830,041	Romantic-Comedy
9	Two Can Play That Game	2001-09-07	Sony Pictures	R	$22,235,901	3,928,604	Romantic-Comedy
10	Summer Catch	2001-08-24	Warner Bros.	PG-13	$19,693,891	3,479,486	Romantic-Comedy
11	Le Fabuleux destin d'Amélie…	2001-11-02	Miramax	R	$17,695,648	3,126,439	Romantic-Comedy
12	Get Over It	2001-03-09	Miramax	PG-13	$11,560,259	2,042,448	Romantic-Comedy
13	Head Over Heels	2001-02-02	Universal	PG-13	$10,397,365	1,836,990	Romantic-Comedy
14	Town & Country	2001-04-27	New Line	R	$6,712,451	1,185,945	Romantic-Comedy
15	On the Line	2001-10-26	Miramax	PG	$4,365,455	771,281	Romantic-Comedy
16	All Over the Guy	2001-08-10	Lionsgate	R	$1,006,969	177,909	Romantic-Comedy
17	American Desi	2001-03-16	Eros Entertainment	Not Rated	$902,835	159,511	Romantic-Comedy
18	Va Savoir (Who Knows?)	2001-09-28	Sony Pictures Cla…	PG-13	$795,498	140,547	Romantic-Comedy
19	Happy Accidents	2001-08-24	IFC Films	R	$688,523	121,647	Romantic-Comedy
