Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
11	Catwoman	2004-07-23	Warner Bros.	PG-13	$40,202,379	6,473,813	Action
12	Taxi	2004-10-06	20th Century Fox	PG-13	$36,362,287	5,855,440	Action
13	Alexander	2004-11-24	Warner Bros.	R	$34,000,304	5,475,089	Action
14	The Punisher	2004-04-16	Lionsgate	R	$33,664,370	5,420,993	Action
15	After the Sunset	2004-11-12	New Line	PG-13	$28,113,925	4,527,202	Action
16	Torque	2004-01-16	Warner Bros.	PG-13	$21,176,322	3,410,035	Action
17	The Last Samurai	2003-12-05	Warner Bros.	R	$21,093,238	3,396,656	Action
18	House of Flying Daggers	2004-12-03	Sony Pictures Cla…	PG-13	$4,157,199	669,436	Action
19	Ghost in the Shell 2: Innoc…	2004-09-17	DreamWorks/Go Fish	Not Rated	$1,043,896	168,099	Action
20	The Matrix Revolutions	2003-11-05	Warner Bros.	R	$976,482	157,243	Action
21	Zatoichi	2004-07-23	Miramax	R	$853,718	137,474	Action
22	Kill Bill: Volume 1	2003-10-10	Miramax	R	$443,078	71,349	Action
23	Silmido	2004-04-23	Cinema Service	Not Rated	$298,347	48,042	Action
24	Dhoom	2004-08-27	Yash Raj Films	Not Rated	$245,756	39,574	Action
25	Warriors of Heaven and Earth	2004-09-03	Sony Pictures	R	$82,382	13,266	Action
26	Underworld	2003-09-19	Sony Pictures	R	$78,026	12,564	Action
27	Sky Blue	2004-12-31	Maxmedia/Endgame	Not Rated	$3,022	486	Action
28	Once Upon a Time in the Hood	2004-06-18	Maverick Entertai…	Not Rated	$1,292	208	Action
1	War of the Worlds	2005-06-29	Paramount Pictures	PG-13	$234,280,354	36,549,197	Action
2	Batman Begins	2005-06-15	Warner Bros.	PG-13	$205,343,774	32,034,910	Action
3	Mr. and Mrs. Smith	2005-06-10	20th Century Fox	PG-13	$186,336,279	29,069,622	Action
4	Fantastic Four	2005-07-08	20th Century Fox	PG-13	$154,696,080	24,133,553	Action
5	Constantine	2005-02-18	Warner Bros.	R	$75,976,178	11,852,757	Action
6	Kingdom of Heaven	2005-05-06	20th Century Fox	R	$47,398,413	7,394,448	Action
7	The Transporter 2	2005-09-02	20th Century Fox	PG-13	$43,095,856	6,723,222	Action
8	The Island	2005-07-22	Dreamworks SKG	PG-13	$35,818,913	5,587,973	Action
9	Hostage	2005-03-11	Miramax	R	$34,636,443	5,403,501	Action
