Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
24	Kites	2010-05-21	Big Pictures	Not Rated	$1,685,269	213,595	Thriller-or-Suspense
25	Casino Jack	2010-12-17	Samuel Goldwyn Films	R	$1,231,004	156,020	Thriller-or-Suspense
26	Buried	2010-09-24	Lionsgate	R	$1,044,143	132,337	Thriller-or-Suspense
27	Law Abiding Citizen	2009-10-16	Overture Films	R	$428,914	54,361	Thriller-or-Suspense
28	The Square	2010-04-09	Apparition	R	$406,216	51,484	Thriller-or-Suspense
29	Les herbes folles	2010-06-25	Sony Pictures Cla…	PG	$403,952	51,197	Thriller-or-Suspense
30	L'affaire Farewell, l'espio…	2010-01-29		Not Rated	$390,157	49,449	Thriller-or-Suspense
31	La Soga	2010-08-13	7-57 Releasing	R	$210,625	26,695	Thriller-or-Suspense
32	Twelve	2010-08-06	Hannover House	R	$183,920	23,310	Thriller-or-Suspense
33	Armored	2009-12-04	Sony Pictures	PG-13	$173,574	21,999	Thriller-or-Suspense
34	The Disappearance of Alice …	2010-08-06	Anchor Bay Entert…	R	$166,980	21,163	Thriller-or-Suspense
35	Bellamy	2010-10-29	IFC Films	Not Rated	$107,612	13,639	Thriller-or-Suspense
36	Tirez sur le pianiste	2010-03-05	Janus Films	Not Rated	$51,990	6,589	Thriller-or-Suspense
37	Ca$h	2010-03-26	Roadside Attractions	R	$46,488	5,892	Thriller-or-Suspense
38	L'armée du crime	2010-08-20	Lorber Films	Not Rated	$37,031	4,693	Thriller-or-Suspense
39	In My Sleep	2010-04-23	Morning Star Pict…	PG-13	$31,858	4,037	Thriller-or-Suspense
40	Dead Awake	2010-12-03	New Films Cinema	R	$30,600	3,878	Thriller-or-Suspense
41	Red Hill	2010-11-05	Sony Pictures	R	$18,224	2,309	Thriller-or-Suspense
42	Dreamkiller	2010-02-19		R	$15,318	1,941	Thriller-or-Suspense
43	Revanche	2009-05-01	Janus Films	Not Rated	$13,918	1,764	Thriller-or-Suspense
44	Le combat dans l'île	2009-06-12	The Film Desk	PG-13	$13,632	1,727	Thriller-or-Suspense
45	Shanghai Red	2010-01-01	Indican Pictures	Not Rated	$8,734	1,106	Thriller-or-Suspense
46	The Box	2009-11-06	Warner Bros.	PG-13	$6,301	799	Thriller-or-Suspense
