Rank	Movie	Release Date	Theatrical Distributor	MPAA Rating	Gross	Tickets Sold	Gender
20	Peter Pan	2003-12-25	Universal	PG	$34,179,235	5,668,198	Adventure
21	Johnny English	2003-07-18	Universal	PG	$28,013,509	4,645,689	Adventure
22	Sinbad: Legend of the Seven…	2003-07-02	Dreamworks SKG	PG	$26,483,452	4,391,948	Adventure
23	Piglet's Big Movie	2003-03-21	Walt Disney	G	$23,103,423	3,831,413	Adventure
24	Looney Tunes: Back in Action	2003-11-14	Warner Bros.	PG	$20,678,510	3,429,271	Adventure
25	Timeline	2003-11-26	Paramount Pictures	PG-13	$19,113,238	3,169,691	Adventure
26	Harry Potter and the Chambe…	2002-11-15	Warner Bros.	PG	$9,889,935	1,640,121	Adventure
27	The Lion King	1994-06-15	Walt Disney	G	$9,696,253	1,608,002	Adventure
28	The Wild Thornberrys Movie	2002-12-20	Paramount Pictures	PG	$8,356,046	1,385,745	Adventure
29	Grind	2003-08-15	Warner Bros.	PG-13	$5,111,630	847,699	Adventure
30	Sen to Chihiro no Kamikakushi	2002-09-20	Walt Disney	PG	$4,587,566	760,790	Adventure
31	T-Rex: Back to the Cretaceous	1998-10-23	IMAX Films	Not Rated	$4,180,339	693,256	Adventure
32	Star Trek: Nemesis	2002-12-13	Paramount Pictures	PG-13	$3,428,702	568,607	Adventure
33	Haunted Castle	2001-03-02	nWave Pictures	PG	$2,400,483	398,090	Adventure
34	Young Black Stallion	2003-12-25	Walt Disney	G	$2,349,976	389,714	Adventure
35	Treasure Planet	2002-11-27	Walt Disney	PG	$2,299,682	381,373	Adventure
36	The Legend of Johnny Lingo	2003-08-29	Innovation Film G…	G	$974,693	161,640	Adventure
37	The Santa Clause 2	2002-11-01	Walt Disney	G	$948,057	157,223	Adventure
38	Santa vs. The Snowman	2002-11-06	IMAX Films	Not Rated	$931,021	154,398	Adventure
39	Pokemon Heroes	2003-05-16	Miramax	G	$744,928	123,536	Adventure
40	Help! I'm a Fish	2003-02-28		G	$473,477	78,520	Adventure
41	The Lord of the Rings: The …	2001-12-19	New Line	PG-13	$473,463	78,517	Adventure
42	Pinocchio	2002-12-25	Miramax	G	$317,289	52,618	Adventure
43	Spy Kids 2: The Island of L…	2002-08-07	Miramax/Dimension	PG	$275,928	45,759	Adventure
44	Gerry	2003-02-14	ThinkFilm	R	$254,683	42,235	Adventure
45	Jonah: A VeggieTales Movie	2002-10-04	Artisan	G	$163,153	27,056	Adventure
46	Alien Adventure	2000-04-14	nWave Pictures	Not Rated	$82,855	13,740	Adventure
47	Across The Sea of Time	1995-10-20	Sony Pictures Cla…	G	$53,395	8,854	Adventure
1	Shrek 2	2004-05-19	Dreamworks SKG	PG	$441,226,247	71,050,925	Adventure
2	Spider-Man 2	2004-06-30	Sony Pictures	PG-13	$373,524,485	60,148,870	Adventure
3	The Incredibles	2004-11-05	Walt Disney	PG	$251,657,004	40,524,477	Adventure
4	Harry Potter and the Prison…	2004-06-04	Warner Bros.	PG	$249,538,952	40,183,406	Adventure
5	The Day After Tomorrow	2004-05-28	20th Century Fox	PG-13	$186,740,799	30,070,982	Adventure
